Results_Name,Projection
Results_Timestamp,1745254691
Results_Date,4,21,2025
Results_Time,19,58,11
Area,0.000000000000000000e+00
Comp_Areas
Comp_IDs
Comp_Names
Direction,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Mesh_GeomID,
