alpha_deg,CL,CD
-20.0,-1.275572,0.063698
-19.8,-1.2605792052810654,0.062238250673248126
-19.6,-1.2455540603747537,0.0607912942309975
-19.4,-1.2304969128279095,0.0593573124521228
-19.2,-1.2154081101873768,0.057936487115498744
-19.0,-1.200288,0.05652900000000001
-18.8,-1.185136929812623,0.05513503288450126
-18.6,-1.1699552471720904,0.05375476754787721
-18.4,-1.154743299625246,0.0523883857690025
-18.2,-1.1395014347189343,0.05103606932675188
-18.0,-1.12423,0.049698000000000006
-17.8,-1.1089293394684425,0.048374361788746864
-17.6,-1.093599782936885,0.04706534757749373
-17.4,-1.0782416566711057,0.045771152471867145
-17.2,-1.0628552869368846,0.04449197157749371
-17.0,-1.0474409999999998,0.043227999999999996
-16.8,-1.0319991283136076,0.04197942396051131
-16.6,-1.016530029080371,0.04074639414214793
-16.4,-1.0010340656903303,0.03952905234352888
-16.2,-0.9855116015335266,0.03832754036327323
-16.0,-0.9699629999999999,0.037141999999999994
-15.8,-0.9543886272771275,0.03597257436920793
-15.6,-0.9387888607416319,0.03481941185391458
-15.399999999999999,-0.9231640805675725,0.03368266215401728
-15.2,-0.907514666929009,0.03256247496941333
-15.0,-0.8918410000000001,0.031459
-14.8,-0.8761434585778829,0.030372390562657024
-14.6,-0.860422415953102,0.029302814442193743
-14.399999999999999,-0.8446782440393797,0.02825044304040196
-14.2,-0.8289113147504384,0.027215447759073454
-14.0,-0.8131220000000001,0.026198
-13.8,-0.7973106744113421,0.025198263380164027
-13.6,-0.7814777234459611,0.024216370377310455
-13.399999999999999,-0.765623535274909,0.02325244568437487
-13.2,-0.749748498069238,0.022306613994292866
-13.0,-0.7338529999999999,0.021379
-12.8,-0.7179374277767497,0.02046972391668691
-12.6,-0.7020021622630545,0.019578888048564454
-12.399999999999999,-0.6860475828609841,0.018706590222098533
-12.2,-0.6700740689726095,0.01785292826375508
-12.0,-0.6540820000000002,0.017018000000000002
-11.799999999999999,-0.6380717584816595,0.01620191295308834
-11.6,-0.622043739501822,0.01540481342843175
-11.4,-0.6059983412811549,0.014626857427230982
-11.2,-0.589935962040325,0.013868200950686803
-11.0,-0.573857,0.013129
-10.799999999999999,-0.5577618582966125,0.012409392270959704
-10.6,-0.5416509597296584,0.011709442237708562
-10.399999999999999,-0.5255247320143974,0.011029196068977556
-10.2,-0.5093836028660912,0.010368699933497703
-10.0,-0.493228,0.009728000000000002
-9.799999999999999,-0.4770583443318896,0.009107157963072819
-9.6,-0.460875029579545,0.008506297620734014
-9.399999999999999,-0.4446784426612553,0.007925558296858792
-9.2,-0.4284689704953106,0.0073650793153223855
-9.0,-0.412247,0.006825
-8.799999999999999,-0.39601292437582847,0.006305439876749008
-8.6,-0.3797671619521619,0.0058064392793553896
-8.399999999999999,-0.36351013734058096,0.00532801874358726
-8.2,-0.3472422751526667,0.004870198805212757
-8.0,-0.330964,0.0044329999999999994
-7.799999999999999,-0.3146757341647959,0.004016458529931139
-7.6,-0.29837789061180725,0.0036206732618444346
-7.399999999999999,-0.2820708799764204,0.0032457587287921547
-7.199999999999999,-0.2657551128940224,0.002891829463826585
-7.0,-0.24943099999999999,0.002559
-6.799999999999999,-0.23309895496498728,0.002247366003526423
-6.6,-0.2167594036006091,0.001956947673266874
-6.399999999999999,-0.200412774753737,0.0016877463412441097
-6.199999999999999,-0.18405949727124335,0.0014397633394808984
-6.0,-0.1677,0.001213
-5.799999999999999,-0.1513347099752543,0.0010074694559631602
-5.6,-0.13496404698575631,0.00082323204508807
-5.399999999999999,-0.11858842900863095,0.0006603599062313973
-5.199999999999999,-0.10220827402100383,0.0005189251782498173
-5.0,-0.085824,0.000399
-4.799999999999999,-0.06943602913399491,0.0003006441726209296
-4.6,-0.053044800456365525,0.00022386814638084498
-4.399999999999999,-0.03665075721173847,0.00016867003383029468
-4.199999999999999,-0.020254342644741036,0.00013504794751982986
-4.0,-0.003856,0.000123
-3.8000000000000007,0.012543834511234343,0.00013252985355311815
-3.599999999999998,0.02894475281121869,0.00016366336938854995
-3.3999999999999986,0.04534635385558555,0.00021643195844742207
-3.1999999999999993,0.06174823659996829,0.0002908670316708628
-3.0,0.07815,0.000387
-2.8000000000000007,0.09455123508905734,0.0005048524131665966
-2.599999999999998,0.11095150121149165,0.0006444063760649586
-2.3999999999999986,0.12735034978939697,0.0008056341323800199
-2.1999999999999993,0.14374733224486821,0.0009885079257967208
-2.0,0.160142,0.001193
-1.8000000000000007,0.176533913132536,0.0014190844937804934
-1.5999999999999979,0.19292266634281585,0.0016667431263516258
